ID,DAIRA
1701,Djelfa
1704,Hassi Bahbah
1707,Faidh El Botma
1708,Birine
1714,El Idrissia
1717,Messaad
1719,Sidi Ladjel
1720,Had Sahary
1725,Dar Chioukh
1726,Charef
1730,Ain El Ibel
1731,Ain Oussera

