"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","DENOMINATION","CP","CH"
"1",3,"Laghouat","","","","I.N.F.S.P","Laghouat","0380","0170"
"2",3,"Laghouat","","","","Annexe","Aflou","0","0"
