"","ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
"1",1,2,"Chlef","Benihaoua","Benihaoua","Benihaoua","PC","benihaoua –nouvelle-","n",0,0,0
"2",1,2,"Chlef","Benihaoua","Benihaoua","Benihaoua","PC","ancien de benihaoua","n",0,0,0
"3",1,2,"Chlef","Benihaoua","Benihaoua","Brira","PC","berira","n",0,0,0
"4",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","PC","zeboudja","n",0,0,0
"5",1,2,"Chlef","Benihaoua","Zeboudja","Benairia","PC","benairia","n",0,0,0
"6",1,2,"Chlef","Benihaoua","Benihaoua","Benihaoua","SS","bissa","n",0,0,0
"7",1,2,"Chlef","Benihaoua","Benihaoua","Benihaoua","SS","titaouine bouda ","n",0,0,0
"8",1,2,"Chlef","Benihaoua","Benihaoua","Benihaoua","SS","tamzguida","n",0,0,0
"9",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","oued hamlil","n",0,0,0
"10",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","touadjine","n",0,0,0
"11",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","ouledbouali","n",0,0,0
"12",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","Shadaba","n",0,0,0
"13",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","berrekmouche","n",0,0,0
"14",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","zaimia","n",0,0,0
"15",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","Shaynasr","n",0,0,0
"16",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","gueltazerga","n",0,0,0
"17",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","hammama","n",0,0,0
"18",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","taharkouste","n",0,0,0
"19",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","leghmounetlhdjer","n",0,0,0
"20",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","louza","n",0,0,0
"21",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","mrouche","n",0,0,0
"22",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","mrouche","n",0,0,0
"23",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","tafraout","n",0,0,0
"24",1,2,"Chlef","Benihaoua","Zeboudja","Zeboudja","SS","fellaguia","n",0,0,0
"25",1,2,"Chlef","Benihaoua","Zeboudja","Benairia","SS","zelgou","n",0,0,0
"26",1,2,"Chlef","Benihaoua","Zeboudja","Benairia","SS","mzeraa","n",0,0,0
"27",1,2,"Chlef","Benihaoua","Zeboudja","Benairia","SS","soudek","n",0,0,0
"28",1,2,"Chlef","Benihaoua","Zeboudja","Benairia","SS","ajissa","n",0,0,0
"29",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","oued goussine","n",0,0,0
"30",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","bouchghal","n",0,0,0
"31",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","khelloufa","n",0,0,0
"32",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","doumia","n",0,0,0
"33",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","khezna","n",0,0,0
"34",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","hamouine","n",0,0,0
"35",1,2,"Chlef","Benihaoua","Benihaoua","Oued goussine","SS","leghmounetlbahri","n",0,0,0
"36",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","beniakil","n",0,0,0
"37",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","boumazel","n",0,0,0
"38",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","ikadaien","n",0,0,0
"39",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","azmouya","n",0,0,0
"40",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","baouriache","n",0,0,0
"41",1,2,"Chlef","Benihaoua","Benihaoua","Brira","SS","tebridia","n",0,0,0
"42",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","PC","ouledfares","n",0,0,0
"43",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","PC","haouch el ghaba","n",0,0,0
"44",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","PC","vsa Chettia","n",0,0,0
"45",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","PC","Chettia z09","n",0,0,0
"46",1,2,"Chlef","Ouled Fares","Zeboudja","Bouzghaia","PC","bouzghaia","n",0,0,0
"47",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","chorfa z04","n",0,0,0
"48",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","hay el houria","n",0,0,0
"49",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","hay ben souna chlef","n",0,0,0
"50",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","hay salem chlef","n",0,0,0
"51",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","cité arroudj","n",0,0,0
"52",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","haymeddahi","n",0,0,0
"53",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","haynasr z 05 chlef","n",0,0,0
"54",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","lala aouda chlef","n",0,0,0
"55",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","frere abbad","n",0,0,0
"56",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","el hamadia","n",0,0,0
"57",1,2,"Chlef","Ouled Fares","Chlef","Chlef","PC","abiadhmedjadja","n",0,0,0
"58",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","Ouled henni","n",0,0,0
"59",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","Es saidia","n",0,0,0
"60",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","Caper","n",0,0,0
"61",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","Djoualil","n",0,0,0
"62",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","Cinq palmiers ","n",0,0,0
"63",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","hemaimia","n",0,0,0
"64",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","guetaibia","n",0,0,0
"65",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","chorfa ouledfares","n",0,0,0
"66",1,2,"Chlef","Ouled Fares","Ouled Fares","Ouled Fares","SS","ouled hadj kadour","n",0,0,0
"67",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","Chettia S 08","n",0,0,0
"68",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","Sofralogue","n",0,0,0
"69",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","Lardh el bieda","n",0,0,0
"70",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","Chettia ancienne","n",0,0,0
"71",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","El hbayar","n",0,0,0
