"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","DENOMINATION","CP","CH"
"1",26,"Medea","","","","I.N.F.S.P","MEDEA","0330","0304"
"2",26,"Medea","","","","Annexe","MEDEA 1","030","0"
"3",26,"Medea","","","","Annexe","MEDEA 2","030","0"
"4",26,"Medea","","","","Annexe","BERROUAGHIA","030","0"
"5",26,"Medea","","","","Annexe","AIN BOUCIF","030","0"
"6",26,"Medea","","","","Annexe","KSAR BOUKHARI","030","0"
"7",26,"Medea","","","","Annexe","BENISLIMANE","030","0"
"8",26,"Medea","","","","Annexe","TABLAT","030","0"
