"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,26,"Medea","Berrouaghia","El omaria","El omaria","SS","Touama","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","El omaria","SS","Merabtine","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","Baata","SS","Esebt","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","Ouled Brahim","SS","Djamaa R'soul","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","Ouled Brahim","SS","Ouled Trif","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","Ouled Brahim","SS","Ouled  Salem","n",0,0,0
1,26,"Medea","Berrouaghia","El omaria","Ouled Brahim","SS","Gheraibia","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Sidi Naamane","SS","Sidi Mahiedine","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Sidi Naamane","SS","Oued Besbes","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Sidi Naamane","SS","Nechacheda","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Bouchrahil","SS","Rouakech","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Bouchrahil","SS","El kaid","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Bouchrahil","SS","Ouled Ahmed","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Khams Djouamaa","SS","Rouabhia","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Khams Djouamaa","SS","Ain El karma","n",0,0,0
1,26,"Medea","Berrouaghia","Sidi Naamane","Khams Djouamaa","SS","Ouled Rahmoun","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","PC","Sorec Sud","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","PC","Romanette","n",04,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","PC","Vieux Ksar","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Mfatha","PC","Mfatha  Centre","n",04,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Ouled Antar","PC","Ouled Anter Centre","n",04,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Boghar","PC","Boghar","n",04,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Ouled Hellal","PC","Ouled Hellal Centre","n",0,0,0
1,26,"Medea","Ksar el boukhari","Seghouane","Moudjbeur","PC","Moudjbeur Centre","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","Zobra","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","El wiam","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","Marcher","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Saneg","SS","Saneg","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","20 Aout","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","La Gare","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","Adjelana","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","24 Fevrier","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Ksar el boukhari","SS","Pont El Kadhi","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Mfatha","SS","Ben Haoua","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Mfatha","SS","Sidi M'hamed","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ksar el boukhari","Saneg","SS","Saneg Ancien","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Ouled Antar","SS","Ouled Sehil","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Boghar","SS","Boghar Centre","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Boghar","SS","Hadj Tahar","n",0,0,0
1,26,"Medea","Ksar el boukhari","Ouled Antar","Ouled Hellal","SS","Kermat Chiha","n",0,0,0
1,26,"Medea","Ksar el boukhari","Seghouane","Moudjbeur","SS","Ouled Hamza","n",0,0,0
1,26,"Medea","Chahbounia","Chahbounia","Chahbounia","PC","Chahbounia Pole Urbain","n",04,0,0
1,26,"Medea","Chahbounia","Chahbounia","Chahbounia","PC","Chahbounia Centre (Ibneu Sina)","n",0,0,0
