"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","DENOMINATION","CP","CH"
"1",44,"Aindefla","","","","I.N.F.S.P","Khemis-Miliana","0240","0220"
"2",44,"Aindefla","","","","I.F.P.M","El-Attaf","0240","0104"
"3",44,"Aindefla","","","","Annexe","EPH Ain-Defla","030","0"
"4",44,"Aindefla","","","","Annexe","EPH Khemis-Miliana","025","0"
"5",44,"Aindefla","","","","Annexe","EPH MILIANA","030","0"
"6",44,"Aindefla","","","","Annexe","EPH El-Attaf","030","0"
"7",44,"Aindefla","","","","Annexe","EPSP Ain-Lechiakh","031","0"
